course_code,venue,confirmed_total,cancelled_total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,strong_months,weak_months
ASKEYM,HOTEL,3,3,0/2,,,1/1,,,1/0,,,1/0,,,,Jan
ASKKYM,HOTEL,3,3,0/1,1/0,,0/2,,,1/0,,,1/0,,,,Apr
ASK7VB,INHOUSE,3,5,1/0,0/1,,0/1,,0/1,,0/1,,0/1,1/0,1/0,,
ASKMEB,JTC,3,2,0/1,1/0,,,0/1,,,1/0,,,1/0,,,
ASKSAW,HOTEL,3,3,,0/2,,,1/1,,,1/0,,,1/0,,,Feb
ASKCP8,INHOUSE,3,4,,0/2,,0/1,,1/0,,1/0,,0/1,,1/0,,Feb
ASKVP7,INHOUSE,3,2,,1/0,,,0/1,,0/1,,1/0,,1/0,,,
ASKWRM,IP,3,0,,1/0,,,,1/0,,,,1/0,,,,
ASKBDD,HOTEL,3,2,,,1/1,,,1/0,,,0/1,,,1/0,,
ASKBPR,HOTEL,3,2,,,1/1,,,0/1,,,1/0,,,1/0,,
ASKEWW,IP,3,0,,,1/0,,,,1/0,,,,1/0,,,
ASKOYO,HOTEL,3,1,,,1/1,,,,,1/0,,,,1/0,,
ASKKMK,HOTEL,3,2,0/1,,0/1,,1/0,,,1/0,,,1/0,,,
ASKINH-1/2DAY,INHOUSE,3,0,,,,1/0,2/0,,,,,,,,May,
ASQMEI,OTHER,3,2,,,,1/1,0/1,1/0,,,,,,1/0,,
DIIO-IAO,JTC,3,3,2/0,0/2,,,1/0,,,,,,0/1,,Jan,Feb
DIIO-IPM,JTC,3,2,1/1,,,,1/0,,,,,,0/1,1/0,,
NS-SDDM,IP,3,0,,1/0,,,1/0,,,1/0,,,,,,
ASKINH-1DAY,OTHER,3,0,,,,,1/0,,,,,1/0,,1/0,,
ASKSTA,HOTEL,3,0,1/0,,1/0,,,,,,,,1/0,,,
ASEAZA,HBL,3,1,,1/0,,1/0,1/1,,,,,,,,,
ASEAZN,HBL,3,1,,1/0,1/0,1/1,,,,,,,,,,
ASKRPW,INHOUSE,2,1,1/0,,,,0/1,,,,1/0,,,,,
DDM-DMSP,HBL,2,0,1/0,,,1/0,,,,,,,,,,
DDM-DMC,HBL,2,1,1/0,,1/0,,,,,,0/1,,,,,
ASKMEN,JTC,2,0,2/0,,,,,,,,,,,,Jan,
ASKCL7,JTC,2,10,0/1,0/2,,0/1,0/1,0/1,0/1,1/0,0/1,0/1,0/1,1/0,,Feb
ASKMWA,INHOUSE,2,3,0/1,0/1,1/0,,1/0,,,,0/1,,,,,
ASKCMC,HOTEL,2,3,0/1,,0/1,,0/1,,,,1/0,,,1/0,,
ASKEWW,INHOUSE,2,1,0/1,,,,1/0,,,,1/0,,,,,
ASKFF8,INHOUSE,2,5,0/2,,1/0,,0/1,,1/0,,0/1,,0/1,,,Jan
ASKMPA,JTC,2,3,0/1,1/0,,0/1,1/0,,,,0/1,,,,,
ASKCDM,INHOUSE,2,9,0/2,,,1/0,,0/1,0/2,1/0,0/1,0/3,,,,Jan|Jul|Oct
ASKTH8,JTC,2,6,0/2,,0/1,0/1,0/1,,1/0,,1/0,,0/1,,,Jan
ASKCWC,HOTEL,2,3,0/2,,,1/0,0/1,,,,1/0,,,,,Jan
ASKEEP,HOTEL,2,3,0/2,,,,1/1,,,,1/0,,,,,Jan
ASKHAW,HOTEL,2,2,1/1,,,0/1,,,,1/0,,,,,,
ASKMOA,INHOUSE,2,3,0/1,0/1,,,0/1,,1/0,,1/0,,,,,
ASKUSC,HOTEL,2,3,0/2,,,,1/0,0/1,,,,1/0,,,,Jan
ASKMAB,JTC,2,2,,0/1,0/1,,,1/0,,,,1/0,,,,
ASKBHW,HOTEL,2,4,,0/2,,0/1,1/0,,,1/0,,,0/1,,,Feb
ASKMPA,INHOUSE,2,2,1/0,0/1,,,,0/1,,,,1/0,,,,
ASKEP8,JTC,2,6,,0/1,0/1,0/1,0/1,1/0,,0/1,,1/0,,0/1,,
ASKPTM,HOTEL,2,4,,0/1,0/1,,1/1,,,1/0,,,0/1,,,
ASKSPC,HOTEL,2,2,0/1,0/1,,,,1/0,,,,1/0,,,,
ASKMEA,JTC,2,4,0/1,0/1,,,0/2,,,1/0,,,1/0,,,May
ASKDDP,HOTEL,2,3,,0/2,,,0/1,,,1/0,,,1/0,,,Feb
ASKTH8,INHOUSE,2,5,,1/1,,0/1,,0/1,,0/1,,1/0,,0/1,,
ASKMOA,JTC,2,1,,0/1,,,,1/0,,,,1/0,,,,
