course_code,venue,confirmed_total,cancelled_total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,strong_months,weak_months
DDM-WLCO,IP,53,6,6/1,5/0,6/0,7/1,6/0,3/0,3/0,3/1,3/2,3/1,4/0,4/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Oct|Nov|Dec,
IIOC-CHP,IP,53,8,5/2,8/0,9/0,4/1,8/2,1/0,4/0,2/1,3/0,3/1,3/1,3/0,Feb|Mar|Apr|May|Jul|Sep|Oct|Nov|Dec,
ACDM-SEO,IP,53,5,6/0,4/2,7/1,6/1,7/0,4/0,4/1,3/0,2/0,3/0,3/0,4/0,Jan|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
SCTP-DDM,IP,52,2,6/0,6/0,5/1,6/0,6/0,3/0,3/0,2/1,4/0,3/0,5/0,3/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Sep|Oct|Nov|Dec,
ACDM-DMA,IP,52,5,4/0,6/2,7/1,6/0,6/1,4/0,4/1,3/0,3/0,3/0,3/0,3/0,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
ACDM-DA,IP,51,8,6/1,5/3,6/0,6/1,6/1,4/0,3/1,3/0,3/0,3/0,3/0,3/1,Jan|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,
SCTP-ACDM,IP,50,7,5/1,5/2,6/0,6/1,5/1,4/1,3/0,4/0,2/1,3/0,3/0,4/0,Jan|Mar|Apr|May|Jun|Jul|Aug|Oct|Nov|Dec,
IIOC-CHP,JTC,43,18,6/3,6/1,4/3,6/2,3/5,3/0,3/0,0/3,4/0,2/0,2/1,4/0,Feb|Apr|Jun|Jul|Sep|Oct|Dec,May|Aug
IIOC-CE,IP,43,15,8/1,2/2,7/3,6/1,6/1,2/1,2/0,2/1,2/1,2/2,2/2,2/0,Jan|Apr|May|Jul|Dec,
IIOC-NFT,IP,38,17,6/2,1/6,5/0,5/2,8/0,1/1,3/0,1/2,3/0,1/2,2/2,2/0,Jan|Mar|May|Jul|Sep|Dec,Feb|Aug|Oct
ASQMEI,IP,38,6,3/2,5/0,5/2,5/0,4/0,1/1,1/0,4/0,,4/0,2/1,4/0,Feb|Apr|May|Aug|Oct|Dec,
IIOC-OSS,IP,37,16,4/2,2/5,7/2,2/0,9/0,1/1,3/0,1/2,2/1,2/1,1/2,3/0,Mar|Apr|May|Jul|Dec,Feb|Aug|Nov
NS-DDM,IP,37,2,3/0,3/0,2/0,3/0,3/0,1/0,3/0,3/2,5/0,3/0,5/0,3/0,Jan|Feb|Mar|Apr|May|Jul|Sep|Oct|Nov|Dec,
IIOC-ITPS,IP,36,18,3/3,3/3,6/3,7/2,3/0,3/1,2/0,2/0,2/2,2/1,2/1,1/2,Apr|May|Jun|Jul|Aug,Dec
IIOC-CE,JTC,35,24,7/0,2/5,7/5,2/3,5/3,2/1,3/0,2/2,0/3,1/1,2/0,2/1,Jan|Jul|Nov,Feb|Sep
IIOC-ITPS,JTC,33,23,7/0,2/5,4/1,3/6,5/2,2/1,4/0,2/0,0/3,1/3,1/1,2/1,Jan|Mar|Jul|Aug,Feb|Apr|Sep|Oct
IIOC-IIT,IP,33,20,2/3,7/2,3/5,4/0,4/3,1/0,3/0,1/2,2/2,3/1,2/1,1/1,Feb|Apr|Jul|Oct,Mar|Aug
IIOC-SMHD,JTC,31,26,5/2,3/5,4/1,3/6,5/2,2/1,4/0,2/0,0/3,1/3,1/1,1/2,Mar|Jul|Aug,Feb|Apr|Sep|Oct|Dec
IIOC-NFT,JTC,31,23,3/5,4/1,6/4,4/2,3/2,3/1,2/0,1/3,1/2,1/1,1/2,2/0,Feb|Jun|Jul|Dec,Jan|Aug|Sep|Nov
IIOC-IIT,JTC,30,29,2/5,6/1,4/5,6/2,3/5,3/1,2/1,0/3,1/2,1/1,1/2,1/1,Feb|Apr|Jun,Jan|May|Aug|Sep|Nov
IIOC-OSS,JTC,30,25,1/5,7/1,3/4,4/2,4/4,3/0,3/0,0/3,1/2,1/2,1/2,2/0,Feb|Jun|Jul|Dec,Jan|Aug|Sep|Oct|Nov
IIOC-SMHD,IP,30,20,3/3,2/3,6/3,4/2,1/2,3/1,2/0,2/0,2/2,2/1,1/1,2/2,Jun|Jul|Aug,May
SCTP-CIIO,IP,29,13,2/1,5/1,3/2,3/0,3/3,1/0,3/0,1/2,2/2,3/1,2/0,1/1,Feb|Apr|Jul|Oct|Nov,Aug
ASQMEE,IP,28,5,4/0,4/2,2/2,4/1,3/0,2/0,1/0,2/0,,2/0,1/0,3/0,Jan|Apr|May|Jun|Aug|Oct|Dec,
ASQMEA,IP,28,14,3/2,5/1,3/2,4/4,1/5,2/0,,2/0,1/0,3/0,1/0,3/0,Feb|Jun|Aug|Oct|Dec,May
SCTP-CIIO,JTC,23,18,1/1,4/1,3/2,5/1,1/3,3/1,2/1,0/3,1/3,0/1,1/1,2/0,Feb|Apr|Jun|Dec,May|Aug|Sep
ASKGAI,IP,23,10,1/3,1/2,2/1,1/3,2/1,1/0,1/0,2/0,2/0,2/0,2/0,6/0,Aug|Sep|Oct|Nov|Dec,Jan|Feb|Apr
ASKIIOCAP,JTC,23,0,5/0,2/0,2/0,1/0,1/0,5/0,2/0,2/0,2/0,,,1/0,Jan|Feb|Mar|Jun|Jul|Aug|Sep,
ASQMEI,INHOUSE,23,2,3/0,2/1,1/0,1/0,1/0,1/0,2/0,1/0,3/0,1/0,3/1,4/0,Jan|Jul|Sep|Nov|Dec,
ACDM-DMA,HBL,21,11,3/1,3/2,1/1,3/2,3/1,0/1,0/3,3/0,1/0,1/0,1/0,2/0,Jan|May|Aug|Dec,Jul
ASQMEA,INHOUSE,21,1,3/0,2/0,0/1,1/0,1/0,1/0,2/0,1/0,2/0,1/0,3/0,4/0,Jan|Feb|Jul|Sep|Nov|Dec,
ACDM-SMM,HBL,20,11,2/2,3/1,3/1,1/3,3/0,0/2,1/2,2/0,1/0,1/0,1/0,2/0,Feb|Mar|May|Aug|Dec,Apr|Jun|Jul
ACDM-SEO,HBL,20,11,2/2,3/1,3/1,1/3,3/0,0/2,1/2,2/0,1/0,1/0,1/0,2/0,Feb|Mar|May|Aug|Dec,Apr|Jun|Jul
ACDM-DME,HBL,19,8,2/1,3/0,3/0,2/3,3/0,0/3,1/1,1/0,1/0,1/0,1/0,1/0,Feb|Mar|May,Jun
ASQMEI,JTC,19,4,1/1,1/1,2/1,1/0,2/0,,1/0,0/1,3/0,1/0,3/0,4/0,May|Sep|Nov|Dec,
ACDM-DA,HBL,18,12,2/2,3/1,2/2,1/3,3/0,0/2,1/2,2/0,1/0,1/0,1/0,1/0,Feb|May|Aug,Apr|Jun|Jul
SCTP-ACDM,HBL,17,13,2/2,3/1,3/1,1/3,2/0,0/4,2/1,1/0,0/1,1/0,1/0,1/0,Feb|Mar|May,Apr|Jun
ACDM-DME,INHOUSE,16,1,2/0,2/0,3/0,5/1,4/0,,,,,,,,Jan|Feb|Mar|Apr|May,
SCTP-ACDM,INHOUSE,15,2,2/1,2/0,2/0,5/1,4/0,,,,,,,,Feb|Mar|Apr|May,
ACDM-DA,INHOUSE,15,1,1/0,3/0,2/0,4/0,5/1,,,,,,,,Feb|Mar|Apr|May,
ACDM-SMM,INHOUSE,15,1,1/0,3/0,2/0,4/0,4/1,1/0,,,,,,,Feb|Mar|Apr|May,
ACDM-SEO,INHOUSE,15,1,1/0,2/0,3/0,4/0,4/1,1/0,,,,,,,Feb|Mar|Apr|May,
ACDM-DMA,INHOUSE,15,2,1/0,2/0,3/0,1/0,6/2,2/0,,,,,,,Feb|Mar|May|Jun,
ASQMEE,INHOUSE,15,4,0/3,1/1,1/0,1/0,2/0,1/0,2/0,1/0,2/0,1/0,2/0,1/0,May|Jul|Sep|Nov,Jan
ACDM-DME,JTC,14,8,2/1,0/1,1/0,1/2,6/0,1/0,1/1,,0/1,0/2,2/0,,May|Nov,Apr|Oct
ASKGAI,JTC,14,13,1/1,0/3,2/2,1/2,0/2,1/0,1/0,2/1,2/0,0/2,2/0,2/0,Sep|Nov|Dec,Feb|Apr|May|Oct
ASKIIOCAP,IP,13,0,,1/0,1/0,1/0,1/0,,1/0,2/0,1/0,1/0,2/0,2/0,Aug|Nov|Dec,
ASQMEE,JTC,12,4,1/1,1/0,1/1,1/1,1/1,,1/0,,2/0,1/0,2/0,1/0,Sep|Nov,
ASKCAW,IP,12,3,2/1,1/0,2/0,2/0,1/1,1/0,1/0,1/0,,1/0,,0/1,Mar|Apr,
ACDM-SEO,JTC,12,5,2/0,1/1,1/0,1/0,2/0,2/0,0/1,1/0,0/1,0/2,1/0,1/0,Jan|May|Jun,Oct
ASKMEN,INHOUSE,12,0,,,3/0,3/0,2/0,,1/0,1/0,,,,2/0,Mar|Apr|May|Dec,
ASKINH-1DAY,IP,12,4,3/0,,2/0,,3/0,,,,,3/1,1/3,,Jan|Mar|May|Oct,Nov
ASKVEG,IP,12,0,1/0,2/0,1/0,1/0,1/0,,,,1/0,1/0,1/0,3/0,Feb|Dec,
ACDM-SMM,JTC,11,6,2/0,0/2,1/0,1/1,2/0,1/0,1/0,1/0,0/1,0/2,1/0,1/0,Jan|May,Feb|Oct
ASKINH-1/2DAY,IP,11,0,2/0,2/0,2/0,3/0,2/0,,,,,,,,Jan|Feb|Mar|Apr|May,
ASKSPF-INH1,OTHER,11,0,3/0,4/0,4/0,,,,,,,,,,Jan|Feb|Mar,
SDDM-ADMS,IP,10,15,1/2,2/2,1/2,2/2,1/3,1/0,0/2,1/0,0/1,1/0,0/1,,,Jan|Mar|May|Jul
ACIIO-HST,IP,10,10,0/3,0/3,2/0,1/2,2/1,1/0,1/0,,1/0,,1/1,1/0,Mar,Jan|Feb|Apr
SCTP-ACDM,JTC,10,5,2/1,0/1,1/0,1/1,2/0,1/0,1/1,,,0/1,2/0,,May|Nov,
ACIIO-ANA,IP,10,10,0/3,0/1,2/2,0/2,3/0,0/1,2/0,,1/0,,1/1,1/0,May|Jul,Jan|Apr
ACDM-DA,JTC,10,7,2/1,0/1,1/0,1/1,2/0,1/0,1/1,,0/1,0/2,2/0,,May|Nov,Oct
ACIIO-RP,JTC,10,13,1/0,1/3,1/1,0/3,3/2,1/1,,2/0,0/1,0/1,,1/1,Aug,Feb|Apr
ACIIO-CC,IP,10,10,,2/3,0/1,3/0,0/4,1/0,0/1,1/0,1/0,1/0,,1/1,Apr,May
ACIIO-RP,IP,10,6,,1/1,2/3,2/1,,,1/1,1/0,,1/0,1/0,1/0,,
ASKVEG,JTC,10,1,1/0,,1/0,1/0,1/0,,,0/1,1/0,1/0,,4/0,Dec,
SDDM-ASEO,IP,9,16,1/0,1/2,2/2,1/3,2/1,0/3,0/1,0/2,1/0,0/1,0/1,1/0,,Feb|Apr|Jun|Aug
ACIIO-CC,JTC,9,12,1/3,0/1,1/3,2/0,1/3,,2/0,0/1,1/0,1/0,0/1,,Apr|Jul,Jan|Mar|May
SDDM-ADMA,IP,9,16,1/0,1/2,2/2,1/2,2/2,0/3,0/1,0/2,1/0,0/1,0/1,1/0,,Feb|Apr|Jun|Aug
ASKMEI,INHOUSE,9,0,1/0,2/0,1/0,,1/0,1/0,,,1/0,,1/0,1/0,Feb,
ACIIO-CEH,JTC,9,12,1/2,0/1,2/0,1/2,2/3,0/1,1/0,1/1,0/1,,1/0,0/1,Mar,Jan|Apr
DDM-DMSP,IP,9,17,1/0,,2/3,2/1,1/4,1/1,0/2,0/2,1/1,0/1,1/1,0/1,,May|Jul|Aug
ASKPQ8,HOTEL,9,6,2/0,1/0,0/2,0/1,2/0,0/1,1/0,1/0,1/0,0/1,1/0,0/1,Jan|May,Mar
ASKGAI,INHOUSE,9,6,1/1,0/2,,,1/1,,1/0,1/1,1/0,1/1,1/0,2/0,Dec,Feb
ACDM-DMA,JTC,9,7,0/1,1/1,0/1,2/0,1/0,2/0,0/1,1/0,,0/2,0/1,2/0,Apr|Jun|Dec,Oct
ACIIO-CEH,IP,9,10,0/1,2/3,0/2,2/0,0/3,1/0,0/1,1/0,1/0,1/0,,1/0,Apr,Mar|May
ACIIO-ETT,IP,9,6,0/1,,2/4,2/0,,1/0,0/1,1/0,,2/0,,1/0,Apr|Oct,Mar
ASKGAI,HBL,9,4,0/1,,0/1,,,0/1,1/0,1/0,1/0,,2/1,4/0,Dec,
SCTP-SDDM,IP,8,17,1/2,2/2,1/2,2/2,1/3,0/1,0/2,1/0,0/1,0/1,0/1,,,Jan|Mar|May|Jul
SCTP-ACIIO,IP,8,7,0/2,0/2,1/0,1/1,1/1,1/0,1/0,,1/0,,1/1,1/0,,Jan|Feb
SDDM-ADA,IP,8,17,1/2,1/1,2/2,2/3,1/3,,0/3,1/0,0/1,0/1,0/1,,,Jan|May|Jul
ASKERT,HOTEL,8,2,1/1,1/1,1/0,,2/0,,1/0,,1/0,,1/0,,May,
SDDM-EM,IP,8,17,1/0,1/2,1/1,2/2,1/3,1/2,0/1,0/2,1/1,0/1,0/1,0/1,,Feb|May|Jun|Aug
ASQMEA,JTC,8,4,1/1,0/1,2/1,1/0,1/1,,1/0,,1/0,,1/0,,,
SDDM-ASMM,IP,8,17,1/2,1/1,2/2,1/3,2/2,0/1,0/2,1/1,0/1,0/1,0/1,,,Jan|Apr|Jul
SDDM-ADCM,IP,8,17,0/2,1/1,3/1,1/4,2/2,0/1,0/2,0/1,1/1,0/1,0/1,,Mar,Jan|Apr|Jul
ACIIO-ETT,JTC,8,12,,1/3,1/0,1/3,1/2,1/1,,2/0,0/2,,1/0,0/1,Aug,Feb|Apr|May|Sep
ASK3KL,HOTEL,8,0,,2/0,,2/0,,1/0,,1/0,,1/0,,1/0,Feb|Apr,
ASKTTM,IP,8,4,0/1,0/1,1/0,2/0,1/1,1/0,,1/0,0/1,,1/0,1/0,Apr,
ASKINH-1/2DAY,JTC,8,0,,,,4/0,4/0,,,,,,,,Apr|May,
SCTP-ACIIO,JTC,7,8,1/1,2/1,0/1,2/1,,1/1,,1/1,,0/1,,0/1,,
ACIIO-HST,JTC,7,10,1/1,2/2,0/1,2/2,,1/1,,1/1,,0/1,,0/1,,
ASKMEB,INHOUSE,7,2,1/0,0/2,1/0,,1/0,1/0,,,1/0,,1/0,1/0,,Feb
ACIIO-SSA,JTC,7,12,0/3,1/1,1/2,1/3,1/0,1/0,1/1,0/1,,1/0,0/1,,,Jan|Mar|Apr
ACIIO-ANA,JTC,7,11,0/1,1/0,2/3,1/2,1/0,0/1,1/0,0/1,1/0,0/1,,0/2,,Apr|Dec
ACIIO-SSA,IP,7,12,0/4,0/2,2/0,0/2,1/2,0/1,1/0,1/0,1/0,,1/0,0/1,Mar,Jan|Feb|Apr|May
ASQDVS,IP,7,0,1/0,1/0,1/0,1/0,,1/0,,,1/0,,,1/0,,
